file,source,sentence,surfaceTarget,reason,candidateHeadwords,candidateJmdictIds
jlpt\jlpt-moji-goi\N1_2010-07_moji-goi.csv,N1 2010-07 言語知識 問題3,ある日、わが家にうれしい知らせが届いた。,うれしい知らせ,no-candidates,,
jlpt\jlpt-moji-goi\N1_2010-12_moji-goi.csv,N1 2010-12 言語知識 問題3,昨日は一日中曇っていて暗かった天気だった。,曇っていて暗かった,no-candidates,,
jlpt\jlpt-moji-goi\N1_2011-07_moji-goi.csv,N1 2011-07 言語知識 問題3,この映画は今までになく新しい手法で製作された。,今までになく新しい,no-candidates,,
jlpt\jlpt-moji-goi\N1_2011-07_moji-goi.csv,N1 2011-07 言語知識 問題3,この鍋は便利で役に立っている。,便利で役に立っている,no-candidates,,
jlpt\jlpt-moji-goi\N1_2012-07_moji-goi.csv,N1 2012-07 言語知識 問題3,山田先生に刺激を受けて、画家の道を志しました。,刺激を受けて,no-candidates,,
jlpt\jlpt-moji-goi\N1_2013-07_moji-goi.csv,N1 2013-07 言語知識 問題3,彼は高校時代、数学の成績がほかと比べて特に良かった。,ほかと比べて特に良かった,no-candidates,,
jlpt\jlpt-moji-goi\N1_2015-07_moji-goi.csv,N1 2015-07 言語知識 問題3,両チームの力は大体同じだだ。,大体同じだ,no-candidates,,
jlpt\jlpt-moji-goi\N1_2015-07_moji-goi.csv,N1 2015-07 言語知識 問題3,観光客が一度に大勢来たした理由は、そのニュース報道にあったらしい。,一度に大勢来た,no-candidates,,
jlpt\jlpt-moji-goi\N1_2017-07_moji-goi.csv,N1 2017-07 言語知識 問題3,細かく丁寧に調査を行った。,細かく丁寧に,no-candidates,,
jlpt\jlpt-moji-goi\N1_2017-07_moji-goi.csv,N1 2017-07 言語知識 問題3,この方法にも不安なところはある。,不安なところ,no-candidates,,
jlpt\jlpt-moji-goi\N1_2017-07_moji-goi.csv,N1 2017-07 言語知識 問題3,橋本さんは怒ったような顔をしていた。,怒ったような顔をしていた,no-candidates,,
jlpt\jlpt-moji-goi\N1_2018-07_moji-goi.csv,N1 2018-07 言語知識 問題3,じゃまするつもりはなかったんです。,じゃまする,no-candidates,,
jlpt\jlpt-moji-goi\N1_2019-07_moji-goi.csv,N1 2019-07 言語知識 問題3,彼は「あ、忘れてた」と小さな声で言うと、その場を去って行った。,小さな声で言う,no-candidates,,
jlpt\jlpt-moji-goi\N1_2019-07_moji-goi.csv,N1 2019-07 言語知識 問題3,どんな厳しい状況でも任務を完了するする覚悟がある。,完了する,no-candidates,,
jlpt\jlpt-moji-goi\N1_2019-12_moji-goi.csv,N1 2019-12 言語知識 問題2,政治家の高木氏は、全国各地を飛び回って精力的に講演を行い、政策の支持を呼び掛けた。,精力的に,no-candidates,,
jlpt\jlpt-moji-goi\N1_2020-12_moji-goi.csv,N1 2020-12 言語知識 問題3,彼はいつも愚痴を言っている。,愚痴を言っている,no-candidates,,
jlpt\jlpt-moji-goi\N1_2022-07_moji-goi.csv,N1 2022-07 言語知識 問題3,林さんが、残った仕事早く正確に処理してくれた。,早く正確に,no-candidates,,
jlpt\jlpt-moji-goi\N1_2022-12_moji-goi.csv,N1 2022-12 言語知識 問題3,各国のチームの実力は差がないしている。,差がない,no-candidates,,
jlpt\jlpt-moji-goi\N1_2024-07_moji-goi.csv,N1 2024-07 言語知識 問題3,男の子は父親の話を下を向いて聞いていた。,下を向いて,no-candidates,,
jlpt\jlpt-moji-goi\N1_2025-12_moji-goi.csv,N1 2025-12 言語知識 問題3,衣装はいつも自分で買う。,自分で買う,no-candidates,,
jlpt\jlpt-moji-goi\N1_2025-12_moji-goi.csv,N1 2025-12 言語知識 問題4,新しいものが目まくるしい入れ替わっている,目まくるしい,no-candidates,,
